iter	Passed	Remaining
0	11	11663
1	13	6607
2	14	4910
3	16	4026
4	18	3646
5	20	3336
6	21	3068
7	22	2846
8	24	2680
9	26	2608
10	28	2541
11	30	2521
12	31	2426
13	33	2354
14	34	2297
15	36	2247
16	37	2187
17	39	2136
18	40	2088
19	41	2046
20	43	2008
21	44	1971
22	45	1936
23	46	1906
24	48	1879
25	49	1861
26	51	1842
27	52	1822
28	53	1805
29	55	1786
30	56	1766
31	57	1748
32	59	1739
33	60	1725
34	62	1711
35	63	1697
36	65	1701
37	66	1694
38	69	1702
39	70	1691
40	71	1678
41	73	1667
42	74	1655
43	75	1646
44	77	1635
45	78	1626
46	85	1729
47	87	1726
48	88	1718
49	89	1705
50	91	1697
51	92	1693
52	94	1687
53	95	1680
54	97	1676
55	99	1670
56	100	1665
57	101	1655
58	103	1645
59	104	1635
60	105	1627
61	106	1618
62	108	1611
63	109	1605
64	111	1597
65	112	1592
66	114	1592
67	115	1587
68	117	1580
69	118	1573
70	119	1566
71	121	1561
72	122	1554
73	123	1548
74	125	1541
75	126	1535
76	127	1530
77	128	1523
78	130	1518
79	131	1515
80	133	1511
81	134	1505
82	135	1500
83	137	1496
84	138	1490
85	139	1485
86	141	1480
87	142	1475
88	143	1470
89	145	1467
90	146	1463
91	147	1460
92	149	1455
93	150	1450
94	151	1446
95	153	1443
96	154	1439
97	156	1437
98	157	1436
99	159	1434
100	161	1436
101	163	1438
102	164	1435
103	166	1435
104	169	1441
105	170	1440
106	172	1439
107	173	1435
108	175	1432
109	176	1429
110	177	1425
111	179	1422
112	181	1420
113	182	1416
114	183	1413
115	185	1410
116	186	1408
117	187	1404
118	189	1400
119	190	1396
120	191	1393
121	193	1391
122	194	1390
123	196	1388
124	197	1385
125	199	1381
126	200	1378
127	201	1375
128	203	1372
129	204	1369
130	205	1366
131	207	1363
132	208	1361
133	210	1359
134	211	1356
135	212	1352
136	214	1349
137	215	1346
138	216	1342
139	218	1339
140	219	1336
141	220	1333
142	221	1330
143	223	1327
144	224	1324
145	226	1322
146	227	1321
147	229	1319
148	230	1316
149	231	1314
150	233	1310
151	234	1307
152	235	1304
153	236	1301
154	238	1299
155	239	1296
156	240	1293
157	242	1292
158	244	1291
159	245	1289
160	246	1286
161	247	1282
162	249	1278
163	250	1275
164	251	1272
165	252	1268
166	253	1265
167	254	1261
168	255	1258
169	257	1259
170	259	1257
171	260	1254
172	261	1250
173	262	1247
174	264	1245
175	265	1242
176	266	1238
177	267	1235
178	268	1232
179	269	1229
180	271	1227
181	272	1224
182	273	1223
183	275	1220
184	276	1217
185	277	1214
186	278	1211
187	279	1209
188	281	1206
189	282	1202
190	283	1200
191	284	1198
192	285	1195
193	287	1195
194	289	1193
195	290	1191
196	291	1189
197	292	1186
198	294	1184
199	295	1181
200	296	1178
201	297	1175
202	298	1172
203	299	1170
204	300	1167
205	302	1164
206	303	1161
207	304	1159
208	305	1157
209	307	1155
210	308	1153
211	309	1150
212	310	1147
213	311	1145
214	312	1142
215	314	1139
216	315	1137
217	316	1134
218	317	1131
219	318	1129
220	319	1127
221	320	1124
222	322	1122
223	323	1121
224	324	1119
225	326	1116
226	327	1114
227	328	1112
228	329	1109
229	330	1107
230	332	1105
231	333	1103
232	334	1100
233	335	1098
234	336	1096
235	338	1094
236	339	1092
237	340	1090
238	341	1087
239	342	1085
240	343	1082
241	344	1080
242	346	1078
243	347	1075
244	348	1073
245	349	1070
246	350	1068
247	351	1066
248	353	1065
249	354	1063
250	355	1061
251	356	1059
252	358	1057
253	359	1054
254	360	1052
255	361	1050
256	362	1048
257	363	1045
258	364	1043
259	365	1041
260	366	1038
261	368	1037
